Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки в періоді,Filter2,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки по брендах,Filter2,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки по регіонах,Filter2,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,Filter2,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки по категоріях,Filter2,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Аналіз закупок,Filter2,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,Залишки поденно,Filter2,1
Agents,Торгові представники,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",Filter2,1
Clients,ClientGroup1,Залишки та закупки (по брендах).pbix,Залишки по регіонах,Filterc378d500e0ac247a5e3a,1
Comands,Команди,Залишки та закупки (по брендах).pbix,Залишки в періоді,Filter1,1
Comands,Команди,Залишки та закупки (по брендах).pbix,Залишки по брендах,Filter1,1
Comands,Команди,Залишки та закупки (по брендах).pbix,Залишки по регіонах,Filter1,1
Comands,Команди,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,Filter1,1
Comands,Команди,Залишки та закупки (по брендах).pbix,Залишки по категоріях,Filter1,1
Comands,Команди,Залишки та закупки (по брендах).pbix,Аналіз закупок,Filter1,1
Comands,Команди,Залишки та закупки (по брендах).pbix,Залишки поденно,Filter1,1
Comands,Команди,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",Filter1,1
Warehouses,Склади,Залишки та закупки (по брендах).pbix,Залишки в періоді,Filter,1
Warehouses,Склади,Залишки та закупки (по брендах).pbix,Залишки по брендах,Filter,1
Warehouses,Склади,Залишки та закупки (по брендах).pbix,Залишки по регіонах,Filter,1
Warehouses,Склади,Залишки та закупки (по брендах).pbix,Обертовість залишків по брендах,Filter,1
Warehouses,Склади,Залишки та закупки (по брендах).pbix,Залишки по категоріях,Filter,1
Warehouses,Склади,Залишки та закупки (по брендах).pbix,Аналіз закупок,Filter,1
Warehouses,Склади,Залишки та закупки (по брендах).pbix,Залишки поденно,Filter,1
Warehouses,Склади,Залишки та закупки (по брендах).pbix,"Повтор розділу ""Залишки по номенклатурі""",Filter,1
